ID,Image,Name(Kanji),Name(Hiragana),Name(Romaji),Localised Name,Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats
1,,円堂 守,えんどう まもる,Mamoru Endo,Mark Evans,円堂,男 (Male),GK1,選手 (Player),イナズマイレブン,GK,FW,山 (Mountain),Justice,90,97,91,98,105,111,97,689
2,,豪炎寺 修也,ごうえんじ しゅうや,Shuya Goenji,Axel Blaze,豪炎寺,男 (Male),FW2,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Justice,121,115,105,88,85,85,93,692
5,,壁山 塀吾郎,かべやま へいごろう,Heigoro Kabeyama,Jack Wallside,壁山,男 (Male),DF1,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Justice,90,94,95,102,105,91,114,691
6,,風丸 一郎太,かぜまる いちろうた,Ichirota Kazemaru,Nathan Swift,風丸,男 (Male),DF1,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Justice,90,94,95,102,105,91,114,691
7,,染岡 竜吾,そめおか りゅうご,Ryugo Someoka,Kevin Dragonfly,染岡,男 (Male),FW4,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Tension,117,112,102,84,82,81,90,668
8,,栗松 鉄平,くりまつ てっぺい,Teppei Kurimatsu,Tod Ironside,栗松,男 (Male),DF3,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Counter,86,90,91,98,102,88,110,665
9,,半田 真一,はんだ しんいち,Shinichi Handa,Steve Grim,半田,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Justice,100,108,105,88,88,81,97,667
10,,松野 空介,まつの くうすけ,Kusuke Matsuno,Maxwell Carson,マックス,男 (Male),FW4,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Tension,117,112,102,84,82,81,90,668
11,,少林寺 歩,しょうりんじ あゆむ,Ayumu Shorinji,Tim Saunders,しょうりん,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Bond,100,108,105,88,88,81,97,667
12,,宍戸 佐吉,ししど さきち,Sakichi Shishido,Sam Kincaid,宍戸,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Bond,100,108,105,88,88,81,97,667
13,,影野 仁,かげの じん,Jin Kageno,Jim Wraith,仁,男 (Male),DF3,選手 (Player),イナズマイレブン,DF,GK,林 (Forest),Justice,86,90,91,98,102,88,110,665
14,,目金 欠流,めがね かける,Kakeru Megane,William Glass,メガネ,男 (Male),FW3,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Justice,110,108,98,88,85,81,97,667
15,,一之瀬 一哉,いちのせ かずや,Kazuya Ichinose,Erik Eagle,一之瀬,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,林 (Forest),Bond,100,108,105,88,88,81,97,667
16,,土門 飛鳥,どもん あすか,Asuka Domon,Bobby Shearer,土門,男 (Male),DF3,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Tension,86,90,91,98,102,88,110,665
17,,木野 秋,きの あき,Aki Kino,Silvia Woods,木野,女 (Female),GK1,マネージャー (Coordinator),イナズマイレブン,GK,DF,山 (Mountain),Tension,90,97,91,98,105,111,97,689
